metric,analyte,spearman_r,spearman_p,method,level,kendall_tau,kendall_p
sod,ddt_index,0.29276134,0.011364807,spearman,indices,NA,NA
sod,pesticide_index,0.28760979,0.012964823,spearman,indices,NA,NA
ibr_bio,pesticide_index,-0.2796978,0.015801371,spearman,indices,NA,NA
sod,total_con_index,0.27058127,0.01971765,spearman,indices,NA,NA
length,pah_lmw_index,-0.2685672,0.020686804,spearman,indices,NA,NA
ibr_combined,pesticide_index,-0.2646651,0.022680501,spearman,indices,NA,NA
weight_final,total_metal_index,-0.2639467,0.023064821,spearman,indices,NA,NA
ibr_bio,ddt_index,-0.2518758,0.030398173,spearman,indices,NA,NA
ibr_combined,ddt_index,-0.251061,0.03095687,spearman,indices,NA,NA
height,total_metal_index,-0.2440726,0.036112938,spearman,indices,NA,NA
weight_final,heavy_metal_index,-0.2430359,0.036935607,spearman,indices,NA,NA
weight_final,nutrient_metal_index,-0.2397186,0.039673816,spearman,indices,NA,NA
ibr_bio,pcb_index,-0.2351277,0.043739624,spearman,indices,NA,NA
sod,pcb_index,0.22950019,0.049187345,spearman,indices,NA,NA
sod,ddt_index,NA,NA,kendall,indices,0.200188572,0.01201643
sod,pesticide_index,NA,NA,kendall,indices,0.22171803,0.015006649
ibr_bio,pesticide_index,NA,NA,kendall,indices,-0.215049819,0.018320842
sod,total_con_index,NA,NA,kendall,indices,0.176601259,0.026011961
length,pah_lmw_index,NA,NA,kendall,indices,-0.18696779,0.018438049
ibr_combined,pesticide_index,NA,NA,kendall,indices,-0.20615887,0.023726052
weight_final,total_metal_index,NA,NA,kendall,indices,-0.179563125,0.023613073
ibr_bio,ddt_index,NA,NA,kendall,indices,-0.182327882,0.022162416
ibr_combined,ddt_index,NA,NA,kendall,indices,-0.183072077,0.021623918
height,total_metal_index,NA,NA,kendall,indices,-0.160310996,0.043311166
weight_final,heavy_metal_index,NA,NA,kendall,indices,-0.161791929,0.041413743
ibr_bio,z_PCB138,-0.365849297,0.001348372,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB118,-0.365394372,0.001368593,spearman,individual_analytes,NA,NA
sod,z_PCB066,0.342959963,0.002777785,spearman,individual_analytes,NA,NA
ibr_combined,z_PCB138,-0.34212851,0.002848869,spearman,individual_analytes,NA,NA
ibr_combined,z_PCB118,-0.341719308,0.002884447,spearman,individual_analytes,NA,NA
sod,z_PCB180,0.336080179,0.003416806,spearman,individual_analytes,NA,NA
sod,z_PCB087,0.322738782,0.005039375,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB180,-0.322325219,0.005099074,spearman,individual_analytes,NA,NA
ibr_combined,z_cadmium,0.311318181,0.006935729,spearman,individual_analytes,NA,NA
ibr_combined,z_cadmium.1,0.311318181,0.006935729,spearman,individual_analytes,NA,NA
sod,z_ppDDE,0.305695526,0.008081369,spearman,individual_analytes,NA,NA
ibr_bio,z_cadmium,0.305081744,0.008215947,spearman,individual_analytes,NA,NA
ibr_bio,z_cadmium.1,0.305081744,0.008215947,spearman,individual_analytes,NA,NA
ibr_combined,z_PCB180,-0.297091715,0.010155466,spearman,individual_analytes,NA,NA
sod,z_C3.dibenzothiophenes,0.296385648,0.010344644,spearman,individual_analytes,NA,NA
sod,z_ppDDD,0.289480487,0.012362581,spearman,individual_analytes,NA,NA
sod,z_PCB099,0.289039772,0.012502234,spearman,individual_analytes,NA,NA
weight_final,z_cadmium,0.288920337,0.012540315,spearman,individual_analytes,NA,NA
weight_final,z_cadmium.1,0.288920337,0.012540315,spearman,individual_analytes,NA,NA
sod,z_dieldrin,0.287609794,0.012964823,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB066,-0.287015325,0.013161447,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB087,-0.286299076,0.013401776,spearman,individual_analytes,NA,NA
ibr_combined,z_PCB074,-0.285933676,0.013525838,spearman,individual_analytes,NA,NA
sod,z_PCB138,0.28571088,0.013601969,spearman,individual_analytes,NA,NA
sod,z_PCB118,0.285208363,0.013775043,spearman,individual_analytes,NA,NA
shell,z_PCB066,0.283770733,0.014280739,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB074,-0.283653286,0.014322751,spearman,individual_analytes,NA,NA
sod,z_C3.fluorenes,0.283184438,0.014491528,spearman,individual_analytes,NA,NA
sod,z_PCB187,0.280143165,0.015628583,spearman,individual_analytes,NA,NA
ibr_bio,z_dieldrin,-0.279697823,0.015801371,spearman,individual_analytes,NA,NA
sod,z_C2.dibenzothiophenes,0.279629762,0.015827922,spearman,individual_analytes,NA,NA
length,z_C2.phenanthrenes_anthracenes,-0.276969653,0.016896186,spearman,individual_analytes,NA,NA
sod,z_C3.benzanthracenes_chrysenes,0.272045051,0.019037883,spearman,individual_analytes,NA,NA
weight_change,z_arsenic,0.270006793,0.019990042,spearman,individual_analytes,NA,NA
weight_change,z_arsenic.1,0.270006793,0.019990042,spearman,individual_analytes,NA,NA
ibr_combined,z_PCB087,-0.267970879,0.020981435,spearman,individual_analytes,NA,NA
ibr_combined,z_ppDDE,-0.26681684,0.021561801,spearman,individual_analytes,NA,NA
ibr_combined,z_PCB128,-0.26512854,0.022435463,spearman,individual_analytes,NA,NA
ibr_combined,z_dieldrin,-0.264665078,0.022680501,spearman,individual_analytes,NA,NA
ibr_bio,z_ppDDE,-0.261986637,0.024141663,spearman,individual_analytes,NA,NA
sod,z_C4.dibenzothiophenes,0.261429409,0.024455482,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB128,-0.257684189,0.026655787,spearman,individual_analytes,NA,NA
ibr_bio,z_naphthalene,0.255193141,0.028210126,spearman,individual_analytes,NA,NA
sod,z_PCB074,0.253633824,0.029221476,spearman,individual_analytes,NA,NA
sod,z_C4.fluoranthenes_pyrenes,0.252768191,0.029795979,spearman,individual_analytes,NA,NA
weight_initial,z_arsenic,0.252758129,0.029802712,spearman,individual_analytes,NA,NA
weight_initial,z_arsenic.1,0.252758129,0.029802712,spearman,individual_analytes,NA,NA
sod,z_PCB095,0.250943142,0.031038422,spearman,individual_analytes,NA,NA
ibr_combined,z_PCB066,-0.250636563,0.031251345,spearman,individual_analytes,NA,NA
sod,z_benzo_ghi_perylene,0.249640279,0.031951765,spearman,individual_analytes,NA,NA
p450,z_PCB128,-0.249354109,0.03215537,spearman,individual_analytes,NA,NA
sod,z_cadmium,-0.248909374,0.032473952,spearman,individual_analytes,NA,NA
sod,z_cadmium.1,-0.248909374,0.032473952,spearman,individual_analytes,NA,NA
shell,z_PCB149,0.248654857,0.03265746,spearman,individual_analytes,NA,NA
ibr_bio,z_ppDDD,-0.247138669,0.033768747,spearman,individual_analytes,NA,NA
ibr_combined,z_ppDDT,-0.246298829,0.034397812,spearman,individual_analytes,NA,NA
shell,z_C2.dibenzothiophenes,0.246188311,0.034481319,spearman,individual_analytes,NA,NA
shell,z_PCB033,0.245694822,0.034856267,spearman,individual_analytes,NA,NA
sod,z_PCB101,0.244855647,0.035501687,spearman,individual_analytes,NA,NA
